"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type"
50222,"ref","journal article","Danaeopsis Heer ex Schimper 1869 and its European Triassic species",2012,"E.","Kustatscher","K.-P.","Kelber","J. H. A. Van Konijnenburg-van Cittert","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"183","","32","49","English","10.1016/j.revpalbo.2012.06.011","auth"
55628,"ref","journal article","Estudio palinologico de la Formación Punta del Barco (Aptiano) de la provincia de Santa Cruz, Argentina: Granos de polen de Gimnospermas y caracterización de la flora",2012,"M.","Llorens","","","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"49","4","409","426","Spanish","10.5710/amgh.2.4.2012.354","auth,class"
45355,"ref","journal article","Ediacaran radiation of organic-walled microbiota recorded in the Ura Formation, Patom Uplift, East Siberia",2012,"M.","Moczydowska","K. E.","Nagovitsin","","",NA,"Precambrian Research",NA,NA,NA,NA,NA,NA,"198-199","","1","24","English","10.1016/j.precamres.2011.12.010","auth,class"
55725,"ref","journal article","Palynostratigraphic study of the Early Cretaceous Río Mayer and Kachaike formations at the Quebrada El Moro Section, Austral Basin, southwestern Argentina",2012,"V. S.","Perez Loinaze","S.","Archangelsky","G. Cladera","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"34","","161","171","English","10.1016/j.cretres.2011.10.015","class"
75386,"ref","journal article","New species of Neogene radiolarians from the Southern Ocean",2012,"J.","Renaudie","D. B.","Lazarus","","",NA,"Journal of Micropalaeontology",NA,NA,NA,NA,NA,NA,"31","","29","52","English","10.1144/0262-821x10-026","class"
55730,"ref","journal article","Palinoestratigrafia do intervalo Alagoas da Bacia do Araripe, Nordeste do Brasil",2012,"A.","Rios Netto","M.","Regali","I. Carvalho, F. I. Freitas","",NA,"Revista Brasileira de Geociências",NA,NA,NA,NA,NA,NA,"42","2","331","342","English","10.5327/z0375-75362012000200009","auth,class"
69747,"ref","journal article","Report of a Pandanaceous Fructification From the Deccan Intertrappean Beds of Mahurzari, Nagpur \r\n",2012,"N. R.","Sangrame","D. K.","Kapgate","R. W. Ukey","",NA,"",NA,NA,NA,NA,NA,NA,"","","","","English","","auth,class"
78159,"ref","journal article","Hydrolithon braganum sp. nov. (Corallinaceae, Rhodophyta), the first known\r\nexclusively fossil semi-endophytic coralline red alga",2012,"W.J.","Woelkerling","D.","Bassi","Y. Iryu","",NA,"Phycologia",NA,NA,NA,NA,NA,NA,"51","6","604","611","English","","auth,class"
43695,"ref","journal article","Kungurian (Late Cisuralian) fusuline fauna from the Cuozheqiangma area, northern Tibet and its palaeobiogeographical implications",2012,"Y. C.","Zhang","Y.","Wang","Y. J. Zhang, D. X. Yuan","",NA,"Palaeoworld",NA,NA,NA,NA,NA,NA,"21","","139","152","English","10.1016/j.palwor.2012.09.001","class"
44219,"ref","journal article","Taxonomic assessment of coralline algal species (Rhodophyta; Corallinales and Sporolithales) described by Pfender, Lemoine, and Miranda from northern Spain type localities",2011,"J.","Aguirre","J. C.","Braga","D. Bassi","",NA,"Annalen des Naturhistorischen Museums in Wien",NA,NA,NA,NA,NA,NA,"","113","267","289","English","","auth"
42041,"ref","journal article","Taxonomy, nomenclature, and evolution of the early schubertellid fusulinids",2011,"V. I.","Davydov","","","","",NA,"Acta Palaeontologica Polonica",NA,NA,NA,NA,NA,NA,"56","","181","194","English","10.4202/app.2010.0026","class"
55469,"ref","journal article","High conifer diversity in Oligo Miocene New Zealand",2011,"G. J.","Jordan","R. J.","Carpenter","J. M. Bannister, D. E. Lee, D. C. Mildenhall, R. S. Hill","",NA,"Australian Systematic Botany",NA,NA,NA,NA,NA,NA,"24","","121","136","English","10.1071/sb11004","auth,class"
59226,"ref","journal article","Inflorescences and flowers of Sahnipushpam Shukla from the Deccan Intertrappean beds of India",2011,"D.","Kapgate","N.","Awasthi","S. R. Manchester, S. D. Chitaley","",NA,"Acta Palaeobotanica",NA,NA,NA,NA,NA,NA,"51","2","207","227","English","","auth,class"
42027,"ref","journal article","Middle Permian (Wordian) foraminifers of the Furen Limestone, Oita Prefecture, Japan",2011,"F.","Kobayashi","","","","",NA,"Humans and Nature",NA,NA,NA,NA,NA,NA,"22","","21","25","English","","auth,class"
42029,"ref","journal article","Permian fusuline faunas and biostratigraphy of the Akasaka Limestone (Japan)",2011,"F.","Kobayashi","","","","",NA,"Revue de Paléobiologie, Genève",NA,NA,NA,NA,NA,NA,"30","","431","574","English","","auth,class"
74730,"ref","journal article","Generic distinguishing characteristics and Stratigraphic ranges of fossil Corallines: an update",2011,"P.","Kundal","","","","",NA,"Journal Geological Society of India",NA,NA,NA,NA,NA,NA,"78","","571","586","English","","class"
50213,"ref","journal article","The ferns of the Middle Triassic flora from Thale (Germany)",2011,"E.","Kustatscher","J. H. A.","Van Konijnenburg-van Cittert","","",NA,"Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen",NA,NA,NA,NA,NA,NA,"261","2","209","248","English","10.1127/0077-7749/2011/0174","auth"
42125,"ref","journal article","First record of Gzhelian and Asselian fusulinids from the Vazhnan Formation (Sanandaj-Sirgan zone of Iran)",2011,"E. J.","Leven","M. N.","Gorgij","","",NA,"Stratigraphy and Geological Correlation",NA,NA,NA,NA,NA,NA,"19","","486","501","English","10.1134/s0869593811050066","class"
39164,"ref","journal article","What should be call the Foraminifera?",2011,"J. H.","Lipps","K. L.","Finger","S. E. Walker","",NA,"Journal of Foraminiferal Research",NA,NA,NA,NA,NA,NA,"41","4","309","313","English","10.2113/gsjfr.41.4.309","auth"
54760,"ref","journal article","Ptilophyllum muelleri (Ettingsh.) comb. nov. from the Oligocene of Australia: Last of the Bennettitales?",2011,"S.","McLoughlin","R. J.","Carpenter","C. Pott","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"172","4","574","585","English","","auth"
74061,"ref","journal article","Coralline algae from the Prang Formation (middle-late Eocene) of the Lumshnong area, Jaintia Hills, Meghalaya",2011,"P. K.","Misra","A. K.","Jauhri","R. P. Tiwari, S. Kishore, Ajay Pratap Singh, S. K. Singh","",NA,"Journal Geological Society of India",NA,NA,NA,NA,NA,NA,"78","","355","364","English","","class"
38199,"ref","journal article","Sedimentology of a Mid-Late Ordovician carbonate mud-mound complex from the Katmandu nappe in Central Nepal",2011,"D.","Pas","A.-C.","Da Silva","M. R. Dital, F. Boulvain","",NA,"Journal of Asian Earth Sciences",NA,NA,NA,NA,NA,NA,"42","3","452","467","English","10.1016/j.jseaes.2011.05.008","auth"
50684,"ref","journal article","Geological Evolution of the Ulukışla Basin (Late Cretaceous - Eocene) Central Anatolia, Turkey",2011,"K.","Zorlu","S.","Inan","M. Gül, N. İnan, M. A. Kurt, M. Alpaslan","",NA,"Yerbilimleri",NA,NA,NA,NA,NA,NA,"32","2","151","170","English","","auth,class"
55226,"ref","journal article","Davallia (Polypodiales: Davalliaceae) macrofossils from Early Miocene Otago (New Zealand) with in situ spores",2010,"J. G.","Conran","U.","Kaulfuss","J.M. Bannister, D.C. Mildenhall, D.E. Lee","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"","162","84","94","English","10.1016/j.revpalbo.2010.06.001","auth,class"
42537,"ref","journal article","Mid-Late Devonian calcified marine algae and cyanobacteria, south China",2010,"Q.","Feng","Y. M.","Gong","R. Riding","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"84","4","569","587","English","10.1017/s0022336000058340","auth,class"
50201,"ref","journal article","Lycophytes from the Middle Triassic (Anisian) Locality Kühwiesenkopf (Monte Prà Della Vacca) in the Dolomites",2010,"E.","Kustatscher","M.","Wachtler","J. H. A. van Konijnenburg-van Cittert","",NA,"Palaeontology",NA,NA,NA,NA,NA,NA,"53","3","595","626","English","","auth"
77978,"ref","journal article","Multigene phylogenetic analyses support recognition of the Sporolithales ord. nov.",2010,"L.","Le Gall","C.E.","Payri","L. Bittner, G.W. Saunders","",NA,"Molecular Phylogenetics and Evolution",NA,NA,NA,NA,NA,NA,"54","","302","305","English","10.1016/j.ympev.2009.05.026","auth"
57559,"ref","journal article","Early Pliocene - Holocene Favia from the northern and northwestern coastal areas of Saurashtra Peninsula, western India",2010,"D. K.","Pandey","R.","Singh","","",NA,"Journal of the Palaeontological Society of India",NA,NA,NA,NA,NA,NA,"55","2","107","120","English","","auth"
46333,"ref","journal article","Pollen and spores from the Tendaguru Beds, Upper Jurassic and Lower Cretaceous of southeast Tanzania: palynostratigraphical and paleoecological implications",2010,"E.","Schrank","","","","",NA,"Palynology",NA,NA,NA,NA,NA,NA,"34","1","3","42","English","10.1080/01916121003620106","auth,class"
74311,"ref","journal article","Middle Eocene calcareous algae from the southwestern Kachchh, Gujarat",2010,"S. K.","Singh","S.","Kishore","P. K. Mirsa A. K. Jauhri, Anjali Gupta","",NA,"Journal Geological Society of India",NA,NA,NA,NA,NA,NA,"75","","749","759","English","","class"
77849,"ref","journal article","Revision and Re-documentation of M. Airoldi's species of Lithothamnion from the Tertiary Piedmont Basin (NW Italy)",2010,"G.","Vannucci","F.","Quaranta","D. Basso","",NA,"Rivista Italiana di Paleontologia e Stratigrafia",NA,NA,NA,NA,NA,NA,"116","2","223","235","English","","auth,class"
41789,"ref","journal article","Late Guadalupian (Middle Permian) fusuline fauna from the Xiala Formation in Xainza County, central Tibet: implication for the rifting time of the Lhasa block",2010,"Y. C.","Zhang","L. R.","Cheng","S. Z. Shen","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"84","","955","973","English","10.1666/10-005.1","auth,class"
48166,"ref","journal article","Palinología de la Formación Kachaike, Cretácico Inferior de la Cuenca Austral, provincia de Santa Cruz: Granos de polen de Gimnospermas.",2009,"A.","Archangelsky","M.","Llorens","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"46","2","225","234","Spanish","","auth,class"
44128,"ref","journal article","Coralline algae (Corallinales, Rhodophyta) in western and central Mediterranean Messinian reefs",2009,"J. C.","Braga","A.","Vescogni","F. R. Bosellini , J. Aguirre","",NA,"Palaeogeography, Palaeoclimatology, Palaeoecology",NA,NA,NA,NA,NA,NA,"","275","113","128","English","10.1016/j.palaeo.2009.02.022","auth"
56475,"ref","journal article","An Early Cretaceous (Hauterivian) Spore–Pollen Assemblage from Southern Chile",2009,"L. M.","Cranwell","S. K.","Srivastava","","",NA,"Palynology",NA,NA,NA,NA,NA,NA,"33","1","241","280","English","10.2113/gspalynol.33.1.241","auth,class"
47438,"ref","journal article","Lower Jurassic carbonate succession between Predole and Mlačevo, Central Slovenia",2009,"S.","Dozet","","","","",NA,"Materials and Geoenvironment",NA,NA,NA,NA,NA,NA,"56","2","164","193","English","","auth,class"
88513,"ref","journal article","Palmoxylon enochii sp. nov. de la Formación Olmos (Campaniano superior-Maastrichtiano inferior), Coahuila, México",2009,"E.","Estrada-Ruiz","S. R. S.","Cevallos-Ferriz","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"46","4","577","585","English","","auth,class"
77555,"ref","journal article","Latest Permian Palaeolithocycliidae (Radiolaria) from South China",2009,"Q.","Feng","Y.","Mei","S. Crasquin","",NA,"Revue de Micropaleontologie",NA,NA,NA,NA,NA,NA,"52","","141","148","English","10.1016/j.revmic.2007.08.008","auth,class"
32524,"ref","journal article","Middle and Late Triassic radiolarians from northern Tibet: implications for the Bayan Har Basin evolution",2009,"Q.","Feng","Z.","Yang","X. Li, S. Crasquin","",NA,"Geobios",NA,NA,NA,NA,NA,NA,"42","","581","601","English","10.1016/j.geobios.2009.02.002","auth,class"
77854,"ref","journal article","Non-geniculate coralline algae (Corallinales, Rhodophyta) from the Lower Oligocene of Poljsica Pri Podnartu (Northern Slovenia)",2009,"L.","Gale","","","","",NA,"Rivista Italiano di Paleontologia e Stratigrafia",NA,NA,NA,NA,NA,NA,"115","1","87","100","English","","class"
41869,"ref","journal article","Middle Permian western Tethyan fusulinids from southern Baoshan block, western Yunnan, China",2009,"H.","Huang","X. C.","Jin","Y. K. Shi, X. N. Yang","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"83","","880","896","English","10.1666/08-071.1","auth,class"
77598,"ref","journal article","Re-assesment of the type collections of fourteen Corallinalean species (Corallinales, Rhodophyta) described by W. Ishijima (1942-1960)",2009,"Y.","Iryu","D.","Bassi","W.J. Woelkerling","",NA,"Palaeontology",NA,NA,NA,NA,NA,NA,"52","2","401","427","English","10.1111/j.1475-4983.2009.00850.x","class"
30296,"ref","journal article","An early Hettangian coral reef in southern France: Implications for the end-Triassic reef crisis",2009,"W.","Kiessling","E.","Roniewicz","L. Villier, P. Leonide, U. Struck","",NA,"Palaios",NA,NA,NA,NA,NA,NA,"24","","","","English","10.2110/palo.2009.p09-030r","class"
44171,"ref","journal article","Geniculate Coralline Algae from the Neogene-Quaternary sediments in and around Porbandar, Southwest Coast of India",2009,"P.","Kundal","S. N.","Mude","","",NA,"Journal geological society of India",NA,NA,NA,NA,NA,NA,"74","","267","274","English","","auth,class"
42242,"ref","journal article","Taxonomic names, in Section of Permian deposits and fusulinids in the Halvan Mountains, Yazd Province, central Iran",2009,"E. Y.","Leven","","","","",NA,"Stratigraphy and Geological Correlation",NA,NA,NA,NA,NA,NA,"17","","155","172","English","","auth"
37880,"ref","journal article","Les foraminifères benthiques des Faluns du Miocène moyen du Blésois (Loir-et-Cher) et de Mirebeau (Vienne) dans le Centre-Ouest de la France",2009,"J. P.","Margerel","","","","",NA,"Geodiversitas",NA,NA,NA,NA,NA,NA,"31","3","577","621","French","10.5252/g2009n3a5","class"
80951,"ref","journal article","Notes on elements of the Oligocene flora from the Makum Coalfield, Assam, India",2009,"R. C.","Mehrotra","D. L.","Dilcher","T. A. Lott","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"58","01-Mar","1","9","English","","auth,class"
47642,"ref","journal article","Rhodophycean Algae from the Lower Cretaceous of the Cauvery Basin, South India",2009,"P. K.","Misra","S.","Kishore","S. K. Singh, A. K. Jauhri","",NA,"Journal geological society of India",NA,NA,NA,NA,NA,NA,"73","","325","334","English","","auth,class"
32411,"ref","journal article","Catalogue of Mesozoic radiolarian genera. Part 1: Triassic",2009,"L.","O'Dogherty","E. S.","Carter","P. Dumitrica, S. Gorican, P. de Wever, A. Hungerbühler, A. N. Bandini, A. Takemura","",NA,"Geodiversitas",NA,NA,NA,NA,NA,NA,"31","2","231","270","English","10.5252/g2009n2a3","auth,class"
42116,"ref","journal article","Systematics and biostratigraphic notes of the upper Moscovian-upper Gzhelian fusulinid foraminifers from the Anatolian Platform in the Southern Turkey",2009,"C.","Okuyucu","","","","",NA,"Geologica Balcanica",NA,NA,NA,NA,NA,NA,"38","","35","51","English","10.52321/geolbalc.38.1-3.35","auth,class"
77613,"ref","journal article","Coralline algae from the Maniyara Fort Formation (lower Oligocene) of Kachchh, Gujarat, India",2009,"S.K.","Singh","S.","Kishore","A.P. Singh, P.K. Misra, A.K. Jauhri","",NA,"Revue de Paleobiologie, Geneve",NA,NA,NA,NA,NA,NA,"28","1","19","32","English","","auth,class"
45332,"ref","journal article","Czekanowskia from the Jurassic of Inner Mongolia, China",2009,"C.","Sun","D. L.","Dilcher","H. Wang, G. Sun, Y. Ge","",NA,"International Journal of Plant Sciences",NA,NA,NA,NA,NA,NA,"170","9","1183","1194","English","","auth,class"
87938,"ref","journal article","Radiolarian studies by Christian Gottfried Ehrenberg (1795–1876) and value of his species as type species of genera",2009,"N.","Suzuki","","","","",NA,"National Museum of Nature and Science Monographs",NA,NA,NA,NA,NA,NA,"40","","55","69","English","","auth,class"
35420,"ref","journal article","An update of the Angiosperm Phylogeny Group classification for the orders and families of flowering plants: APG III",2009,"","The Angiosperm Phylogeny Group","","","","",NA,"Botanical Journal of the Linnean Society",NA,NA,NA,NA,NA,NA,"161","2","105","121","English","10.1111/j.1095-8339.2009.00996.x","auth"
65996,"ref","journal article","Fusuline foraminifera from the upper part of the Sakamotozawa Formation, South Kitakami Belt, northeast Japan",2009,"K.","Ueno","T.","Shintani","J. I. Tazawa","",NA,"Science Reports, Niigata University (Geology)",NA,NA,NA,NA,NA,NA,"24","","27","61","English","","class"
55849,"ref","journal article","Stratigraphy, palynology, and conchostracans of a Lower Cretaceous sequence at the Cañadón Calcáreo locality, Extra-Andean central Patagonia: age and palaeoenvironmental significance",2009,"W.","Volkheimer","O. F.","Gallego","N. G. Cabaleri, C. Armella, P. L. Narvaez, D. G. Silva Nieto, M. A. Paez","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"30","","270","282","English","10.1016/j.cretres.2008.07.010","auth,class"
49947,"ref","journal article","Foraminiferal turnover across the Paleocene/Eocene boundary at the Zumaya section, Spain: record of a bathyal gradual mass extinction",2009,"L.","Zili","D.","Zaghbib-Turki","L. Alegret, I. Arenillas, E. Molina","",NA,"Revista Mexicana de Ciencias Geológicas",NA,NA,NA,NA,NA,NA,"26","3","729","744","English","","auth"
48004,"ref","journal article","Aptian Angiosperm Pollen from the Ticó Flora Patagonia, Argentina",2008,"A.","Archangelsky","S.","Archangelsky","D. G. Poire, N. D. Canessa","",NA,"Revista del Museo Argentino de Ciencias Naturales",NA,NA,NA,NA,NA,NA,"10","2","185","198","English","","auth,class"
56200,"ref","journal article","Upper Cretaceous to Neogene palynology of the Melut Basin, Southeast Sudan",2008,"A.","Eisawi","E.","Schrank","","",NA,"Palynology",NA,NA,NA,NA,NA,NA,"32","","101","129","English","10.2113/gspalynol.32.1.101","auth,class"
44237,"ref","journal article","Late Miocene ostracod assemblages from eastern Mediterranean coral reef complexes (central Crete, Greece)",2008,"C.","Faranda","P.","Cipollari","D. Cosentino, E. Gliozzi, G. Pipponzi","",NA,"Revue de micropaléontologie",NA,NA,NA,NA,NA,NA,"","51","287","308","English","10.1016/j.revmic.2007.06.002","auth,class"
60830,"ref","journal article","The first evidence of dinosaur tracks in the Upper Cretaceous of Poland",2008,"G. D.","Gierlinski","I.","Ploch","E. Gawor-Biedowa, G. Niedzwiedzki","",NA,"Oryctos",NA,NA,NA,NA,NA,NA,"8","","107","113","English","","auth,class"
77858,"ref","journal article","Calcareous algae from Upper Albian – Cenomanian strata of the Potiguar basin (NE Brazil)",2008,"B.","Granier","D.","Dias-Brito","I.I. Bucur","",NA,"Geologia Croatica",NA,NA,NA,NA,NA,NA,"61","02-Mar","311","320","English","10.4154/gc.2008.23","class"
77931,"ref","journal article","Algological biostragraphy of some early Miocene sediments of the Northeastern desert (Egypt)",2008,"M.M.","Hamad","","","","",NA,"Альгология",NA,NA,NA,NA,NA,NA,"18","1","72","98","Russian","","auth,class"
36750,"ref","journal article","Fusulinoidean Faunas from the Upper Carboniferous and Lower Permian Platform Limestone in the Hadim Area, Central Taurides, Turkey",2008,"F.","Kobayashi","D.","Altiner","","",NA,"Rivista Italiana di Paleontologia e Stratigrafia",NA,NA,NA,NA,NA,NA,"114","","191","232","English","","auth,class"
48148,"ref","journal article","Estudio palinológico de la Formación Punta del Barco, Cretácico Inferior (Aptiano) de la provincia de Santa Cruz, Argentina: Descripciones sistemáticas II: esporas triletes apiculadas, murornadas, tricrasadas y perinadas. Implicancias paleoecológicas",2008,"M.","Llorens","","","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"45","2","273","288","English","","auth,class"
30598,"ref","journal article","The Middle Ordovician Proventocitum procerulum radiolarian assemnblage of Spitsbergen and its biostratigraphic correlation",2008,"J.","Maletz","D. L.","Bruton","","",NA,"",NA,NA,NA,NA,NA,NA,"51","5","1181","1200","English","","class"
29987,"ref","journal article","Late Jurassic (Kimmeridgian) larger benthic Foraminifera from Santiago Coatepec, SE Puebla, Mexico",2008,"L.","Omana","C.","González Arreola","","",NA,"Geobios",NA,NA,NA,NA,NA,NA,"41","6","799","817","English","10.1016/j.geobios.2008.02.001","class"
78400,"ref","journal article","Angiospermous fossil leaves from the Siwalik foreland basins and their palaeoclimatic implications",2008,"M.","Prasad","","","","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"57","","177","215","English","","auth,class"
28473,"ref","journal article","Fasciculate rugose corals from Gzhelian and lower Permian strata, Pequop Mountains, northeast Nevada",2008,"C. H.","Stevens","","","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"82","6","1190","1200","English","10.1017/s0022336000055396","auth,class"
77867,"ref","journal article","Revision and re-documentation of M. Airoldi's species of Lithophyllum from the Tertiary Piedmont Basin",2008,"G.","Vannucci","F.","Quaranta","D. Basso","",NA,"Rivista Italaliana di Paleontologia e Stratigrafia",NA,NA,NA,NA,NA,NA,"114","3","515","528","English","","auth,class"
33381,"ref","journal article","Plesiosaurs from the Upper Cretaceous (Cenomanian-Turonian) Tropic Shale of southern Utah, part 2: Polycotylidae",2007,"L. B.","Albright","D. D.","Gillette","A. L. Titus","",NA,"Journal of Vertebrate Paleontology",NA,NA,NA,NA,NA,NA,"27","1","41","58","English","10.1671/0272-4634(2007)27[41:pftucc]2.0.co;2","auth"
33387,"ref","journal article","Plesiosaurs from the Upper Cretaceous (Cenomanian-Turonian) Tropic Shale of southern Utah, part 2: Polycotylidae; replacement names for the preoccupied genus Palmula and the subfamily Palmulainae",2007,"L. B.","Albright","D. D.","Gillette","A. L. Titus","",NA,"Journal of Vertebrate Paleontology",NA,NA,NA,NA,NA,NA,"27","4","1051","1051","English","","class"
69075,"ref","journal article","Hirmeriella muensteri (Schenk) Jung from Odrowąż (Poland), with female and male cones, and in situ Classopollis pollen grains",2007,"M.","Barbacka","J.","Ziaga","E. Wcislo-Luraniec, M. Reymanowna","",NA,"Acta Palaeobotanica",NA,NA,NA,NA,NA,NA,"47","2","339","357","English","","auth,class"
32319,"ref","journal article","Late Triassic radiolarians of southern Cyprus",2007,"N. Y.","Bragin","","","","",NA,"Paleontological Journal",NA,NA,NA,NA,NA,NA,"41","10","951","1029","English","10.1134/s0031030107100012","auth,class"
48201,"ref","journal article","Early Cretaceous riparian vegetation in Patagonia, Argentina",2007,"G.","Cladera","G. M.","del Fueyo","L. V. de Seoane, S. Archangelsky","",NA,"Revista del Museo Argentino de Ciencias Naturales",NA,NA,NA,NA,NA,NA,"9","1","49","58","English","10.22179/revmacn.9.364","auth,class"
41753,"ref","journal article","Permian fusulinid fauna of peri-Gondwanan affinity from the Kalmard region, east-central Iran and its significance for tectonics and paleogeography",2007,"V. I.","Davydov","S.","Arefifard","","",NA,"Palaeontologia Electronica",NA,NA,NA,NA,NA,NA,"10","2.10A","1","40","English","","auth,class"
32439,"ref","journal article","Radiolarian evolution during the latest Permian in south China",2007,"Q.","Feng","W.","He","S. Gu, Y. Meng, Y. Jin, F. Zhang","",NA,"Global and Planetary Change",NA,NA,NA,NA,NA,NA,"55","","177","192","English","10.1016/j.gloplacha.2006.06.012","auth,class"
75698,"ref","journal article","The Khuff Formation (Middle East) and time-equivalents in Turkey and South China: biostratigraphy from Capitanian to Changhsingian times (Permian), new foraminiferal taxa, and palaeogeographical implications",2007,"J.","Gaillot","D.","Vachard","","",NA,"Coloquios de Paleontología",NA,NA,NA,NA,NA,NA,"57","","37","233","English","","auth,class"
28165,"ref","journal article","End-permian mass extinction of lagenide foraminifers in the southern alps (Northern Italy)",2007,"J. R.","Groves","R.","Rettori","J. L. Payne, M. D. Boyce, D. Altiner","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"81","3","415","434","English","10.1666/05123.1","auth"
73149,"ref","journal article","Late Middle Permian (Capitanian) foraminifers in the Mikata area, Hyogo, with special reference to plasticity deformation of their test and their paleobiogeographic affinity with South China - Late Paleozoic and Early Mesozoic foraminifers of Hyogo, Japan, Part 5",2007,"F.","Kobayashi","","","","",NA,"Nature and Human Activities",NA,NA,NA,NA,NA,NA,"11","","17","28","English","","class"
27173,"ref","journal article","Characteristic Nassellaria of the lower Tuvalian (Upper Triassic) Spongotortilispinus moixi Zone of the Huglu Unit in the Mersin Mélange,\r\nsoutheastern Turkey",2007,"W.","Kozur","P.","Moix","P. Ozsvart","",NA,"Bulletin de la Société Vaudoise des Sciences Naturelles / SVSN",NA,NA,NA,NA,NA,NA,"90","3","151","173","English","","auth,class"
55655,"ref","journal article","Creataceous palynology (spores, pollen and dinoflagellate cysts) of the Siqeifa 1-X borehole, Northern Egypt",2007,"M. S.","Mahmoud","A. S.","Deaf","","",NA,"Rivista Italiana di Paleontologia e Stratigrafia",NA,NA,NA,NA,NA,NA,"113","2","203","221","English","","auth"
55681,"ref","journal article","Palynology of some Cretaceous mudstones from southeast Aswan, Egypt. Significance to regional stratigraphy",2007,"M. S.","Mahmoud","M. A.","Essa","","",NA,"Journal of African Earth Sciences",NA,NA,NA,NA,NA,NA,"47","","1","8","English","10.1016/j.jafrearsci.2006.10.002","auth,class"
56217,"ref","journal article","Late Cretaceous spores, pollen and dinoflagellates from two boreholes (Nuqra-1 and 3) in the Aswan area, southeast Egypt",2007,"M. S.","Mahmoud","E.","Schrank","","",NA,"Revue de Paléobiologie",NA,NA,NA,NA,NA,NA,"26","2","593","613","English","","auth,class"
55682,"ref","journal article","Early Cretaceous (Aptian–Albian) palynology of the Kabrit-1 borehole, onshore Northern Gulf of Suez, Egypt",2007,"M. S.","Mahmoud","H. A.","Soliman","A. S. Deaf","",NA,"Revista Española de Micropaleontología",NA,NA,NA,NA,NA,NA,"39","3","169","187","English","","auth,class"
48170,"ref","journal article","Nuevos registros para la flora cretácica descripta por Halle (1913) en lago San Martín, Santa Cruz, Argentina",2007,"M. G.","Passalia","","","","",NA,"",NA,NA,NA,NA,NA,NA,"44","3","565","595","Spanish","","auth"
33013,"ref","journal article","Fossil Leaf Species from the Fox Hills Formation (Upper Creataceous: North Dakota, USA) and their Paleographic Significance",2007,"D. J.","Peppe","J. M.","Erickson","L. J. Hickey","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"81","3","550","567","English","10.1666/05067.1","auth"
77979,"ref","journal article","Neogoniolithon contii comb. nov. based on the taxonomic re-assessment of Mastrorilli's original collections from the Oligocene of NW Italy (Tertiary Piedmont Basin)",2007,"F.","Quaranta","G.","Vannucci","D. Basso","",NA,"Rivista Italiana di Paleontologia e Stratigrafia",NA,NA,NA,NA,NA,NA,"113","1","43","55","English","","auth"
26060,"ref","journal article","First Emilian record of the boreal-affinity bivalve Portlandia impressa Perri, 1975 from Montefiore dell'Aso (Marche, Italy)",2007,"L.","Ragaini","G.","Cantalamessa","C. Di Celma, P. Didaskalou, R. Impiccini, P. Lori, M. Marino, M. Potetti, S. Ragazzini","",NA,"Bollettino della Societá Italiana",NA,NA,NA,NA,NA,NA,"45","02-Mar","227","234","English","","auth,class"
25851,"ref","journal article","Pleistocene Radiolaria from the Antarctic Continental Margin: Distribution and Biostratigraphy",2007,"G. K.","Sharma","K.","Takahashi","","",NA,"",NA,NA,NA,NA,NA,NA,"69","","913","826","English","","class"
85233,"ref","journal article","The Radiolaria of the Herefordshire Konservat-Lagerstätte (Silurian), England",2007,"D.J.","Siveter","J.C.","Aitchison","D.J. Siveter, M.D. Sutton","",NA,"Journal of Micropalaeontology",NA,NA,NA,NA,NA,NA,"26","","87","95","English","10.1144/jm.26.1.87","auth,class"
62018,"ref","journal article","Fine structures of Stephanodiscus excentricus Hust. and S. niagarae Ehrenb. from Terrebonne diatomite, Oregon, USA",2007,"H.","Tanaka","T.","Nagumo","","",NA,"Diatom",NA,NA,NA,NA,NA,NA,"23","","105","112","English","","auth,class"
